applicant_id,count,default_rate,feature,pays,secteur_activite,zone,date_demande
FIN-1039-1403,1,1.0,applicant_id,,,,
FIN-1039-1396,1,1.0,applicant_id,,,,
FIN-1039-1395,1,1.0,applicant_id,,,,
FIN-1012-1088,1,1.0,applicant_id,,,,
FIN-1012-1090,1,1.0,applicant_id,,,,
FIN-1012-1096,1,1.0,applicant_id,,,,
FIN-1039-1387,1,1.0,applicant_id,,,,
FIN-1012-1102,1,1.0,applicant_id,,,,
FIN-1004-1962,1,1.0,applicant_id,,,,
FIN-1012-1106,1,1.0,applicant_id,,,,
FIN-1012-1109,1,1.0,applicant_id,,,,
FIN-1012-1110,1,1.0,applicant_id,,,,
FIN-1012-1118,1,1.0,applicant_id,,,,
FIN-1012-1119,1,1.0,applicant_id,,,,
FIN-1012-1124,1,1.0,applicant_id,,,,
FIN-1039-1364,1,1.0,applicant_id,,,,
FIN-1039-1361,1,1.0,applicant_id,,,,
FIN-1012-1131,1,1.0,applicant_id,,,,
FIN-1039-1381,1,1.0,applicant_id,,,,
FIN-1039-1477,1,1.0,applicant_id,,,,
FIN-1012-1001,1,1.0,applicant_id,,,,
FIN-1012-1011,1,1.0,applicant_id,,,,
FIN-1012-1013,1,1.0,applicant_id,,,,
FIN-1039-1461,1,1.0,applicant_id,,,,
FIN-1012-1016,1,1.0,applicant_id,,,,
FIN-1012-1020,1,1.0,applicant_id,,,,
FIN-1039-1455,1,1.0,applicant_id,,,,
FIN-1039-1406,1,1.0,applicant_id,,,,
FIN-1039-1449,1,1.0,applicant_id,,,,
FIN-1039-1445,1,1.0,applicant_id,,,,
FIN-1039-1441,1,1.0,applicant_id,,,,
FIN-1039-1438,1,1.0,applicant_id,,,,
FIN-1012-1041,1,1.0,applicant_id,,,,
FIN-1012-1045,1,1.0,applicant_id,,,,
FIN-1039-1425,1,1.0,applicant_id,,,,
FIN-1039-1413,1,1.0,applicant_id,,,,
FIN-1012-1069,1,1.0,applicant_id,,,,
FIN-1039-1450,1,1.0,applicant_id,,,,
FIN-1039-1268,1,1.0,applicant_id,,,,
FIN-1012-1236,1,1.0,applicant_id,,,,
FIN-1039-1261,1,1.0,applicant_id,,,,
FIN-1012-1244,1,1.0,applicant_id,,,,
FIN-1012-1251,1,1.0,applicant_id,,,,
FIN-1039-1253,1,1.0,applicant_id,,,,
FIN-1039-1247,1,1.0,applicant_id,,,,
FIN-1039-1244,1,1.0,applicant_id,,,,
FIN-1012-1132,1,1.0,applicant_id,,,,
FIN-1039-1235,1,1.0,applicant_id,,,,
FIN-1012-1273,1,1.0,applicant_id,,,,
FIN-1012-1277,1,1.0,applicant_id,,,,
FIN-1039-1230,1,1.0,applicant_id,,,,
FIN-1012-1279,1,1.0,applicant_id,,,,
FIN-1012-1286,1,1.0,applicant_id,,,,
FIN-1039-1219,1,1.0,applicant_id,,,,
FIN-1039-1216,1,1.0,applicant_id,,,,
FIN-1039-1213,1,1.0,applicant_id,,,,
FIN-1039-1242,1,1.0,applicant_id,,,,
FIN-1039-1360,1,1.0,applicant_id,,,,
FIN-1012-1139,1,1.0,applicant_id,,,,
FIN-1039-1354,1,1.0,applicant_id,,,,
FIN-1012-1141,1,1.0,applicant_id,,,,
FIN-1039-1352,1,1.0,applicant_id,,,,
FIN-1012-1152,1,1.0,applicant_id,,,,
FIN-1039-1335,1,1.0,applicant_id,,,,
FIN-1012-1162,1,1.0,applicant_id,,,,
FIN-1039-1332,1,1.0,applicant_id,,,,
FIN-1012-1231,1,1.0,applicant_id,,,,
FIN-1039-1323,1,1.0,applicant_id,,,,
FIN-1039-1318,1,1.0,applicant_id,,,,
FIN-1012-1183,1,1.0,applicant_id,,,,
FIN-1012-1199,1,1.0,applicant_id,,,,
FIN-1012-1203,1,1.0,applicant_id,,,,
FIN-1039-1295,1,1.0,applicant_id,,,,
FIN-1039-1289,1,1.0,applicant_id,,,,
FIN-1012-1219,1,1.0,applicant_id,,,,
FIN-1039-1272,1,1.0,applicant_id,,,,
FIN-1012-1173,1,1.0,applicant_id,,,,
FIN-1011-1748,1,1.0,applicant_id,,,,
FIN-1039-1686,1,1.0,applicant_id,,,,
FIN-1011-1761,1,1.0,applicant_id,,,,
FIN-1011-1764,1,1.0,applicant_id,,,,
FIN-1011-1767,1,1.0,applicant_id,,,,
FIN-1011-1771,1,1.0,applicant_id,,,,
FIN-1011-1777,1,1.0,applicant_id,,,,
FIN-1039-1661,1,1.0,applicant_id,,,,
FIN-1011-1996,1,1.0,applicant_id,,,,
FIN-1011-1789,1,1.0,applicant_id,,,,
FIN-1011-1790,1,1.0,applicant_id,,,,
FIN-1011-1802,1,1.0,applicant_id,,,,
FIN-1011-1805,1,1.0,applicant_id,,,,
