feature,normal_mean,anomaly_mean,normal_median,anomaly_median,absolute_mean_difference
total_montant_xaf,814244.6363393572,1335191.5322580645,610000.0,1120000.0,520946.89591870725
avg_credit_xaf,397363.2008650815,494186.75595238095,310000.0,366458.3333333334,96823.55508729944
revenu_mensuel_xaf,255945.96892533448,329774.930362117,179200.0,197650.0,73828.96143678253
revenu_par_credit_actif,137057.33393876182,199347.39786443827,84100.0,106112.5,62290.063925676455
volume_entrant,88948.18554287386,73867.59906759906,69300.0,40500.0,15080.586475274802
volume_sortant,63824.917322719426,71047.82945736434,49100.0,40650.0,7222.91213464491
score_regularite_pondere,237.718134366691,101.47929759284861,246.05825230735206,81.48591140725527,136.2388367738424
max_retard,6.043108338060125,83.14199192462988,0.0,94.0,77.09888358656976
jours_depuis_dernier_credit,546.0275675836078,472.80645161290323,451.0,351.0,73.2211159707046
regularite_score,67.48887049083383,29.12800312012481,71.2,24.1,38.36086737070902
nb_transaction_mois,31.34691039717257,11.629429892141756,31.0,10.0,19.717480505030814
historique_credit,574.4671376308818,589.4096385542168,574.0,599.0,14.942500923335047
total_retards,0.5546752129143298,10.673387096774194,0.0,11.0,10.118711883859865
volume_mensuel_partenaire,581.4102495623016,576.1518817204301,552.0,525.0,5.258367841871518
nb_credits_defaut_hist,0.09472091159975074,1.803763440860215,0.0,2.0,1.7090425292604643
seuil_score_partenaire,571.7421881954954,573.0779569892474,571.0,573.0,1.3357687937519813
nb_credits_rembourses_hist,1.429656666369922,0.11895161290322581,1.0,0.0,1.3107050534666962
age,46.51866050521168,45.436704621567316,46.0,45.0,1.081955883644362
nb_credit,2.049586041128817,2.9045698924731185,2.0,3.0,0.8549838513443015
nb_credits_restructures_hist,0.05433395649722544,0.8931451612903226,0.0,1.0,0.8388112047930972
anciennete_emploi,55.196233127550485,54.542603953646896,55.0,52.0,0.6536291739035889
taux_remboursement_historique,0.6868693645000062,0.03727758576548899,1.0,0.0,0.6495917787345172
taux_defaut_historique,0.055034274014065694,0.6429419482846902,0.0,0.6666666666666666,0.5879076742706245
nb_credits_en_cours_hist,0.47087450666191877,0.08870967741935484,0.0,0.0,0.3821648292425639
ratio_endettement,0.36472179428140833,0.5955649526387009,0.275,0.3035,0.23084315835729258
indice_surendettement,0.04491621940858321,0.19781781647689214,0.0,0.0,0.15290159706830894
nb_credits_actifs,1.4070083096752803,1.2973878097789686,1.0,1.0,0.10962049989631173
flag_no_credit_history,0.24512505957684896,0.3543201607501674,0.0,0.0,0.10919510117331846
flux_sortant_sur_revenu,0.4925277332122057,0.5869859041974774,0.275998009278264,0.20874261079143902,0.0944581709852717
anciennete_compte_mois,42.35189316028854,42.429121725731896,42.0,44.0,0.07722856544335599
mobile_money_score,60.081010141754064,60.02902938557436,61.6,61.3,0.051980756179702325
flag_primo_demandeur,0.17866837971693225,0.2217012726054923,0.0,0.0,0.04303289288856005
anciennete_credit_normalisee,0.007047036263794891,0.015060580315335883,0.0022123893805309,0.002840909090909,0.008013544051540991
flag_anciennete_emploi_missing,0.009780964419669686,0.017414601473543203,0.0,0.0,0.007633637053873517
